media_file,split,annotator,item,start,end,SR,ISR,MUR,P,B,V,FG,HM,ME,T
24fc,test,Gold,"24fc-(4844, 7367)",4844.0,7367.0,1,0,0,0,0,0,1,1,0,1
24fc,test,A2,"24fc-(4844, 7367)",4850.0,7200.0,0,0,0,0,1,1,1,1,0,1
24fc,test,bau,"24fc-(4844, 7367)",4850.0,7200.0,0,0,0,0,1,1,1,1,0,1
24fc,test,mas,"24fc-(4844, 7367)",4850.0,7200.0,0,0,0,0,1,1,1,1,0,1
24fc,test,sad,"24fc-(4844, 7367)",4850.0,7200.0,0,0,0,0,1,1,1,1,0,1
24fc,test,A2,"24fc-(8895, 10282)",8895.0,10235.0,1,0,0,0,0,1,0,1,0,1
24fc,test,Gold,"24fc-(8895, 10282)",8895.0,10282.0,1,0,0,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(8895, 10282)",8895.0,10235.0,1,0,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(8895, 10282)",8895.0,10235.0,1,0,0,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(8895, 10282)",8999.0,10282.0,1,0,0,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(8895, 10282)",8999.0,10282.0,1,0,0,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(11164, 11454)",11164.0,11454.0,0,0,0,0,1,0,1,0,0,1
24fc,test,Gold,"24fc-(11164, 11454)",11164.0,11454.0,0,0,0,0,0,0,0,0,0,0
24fc,test,A2,"24fc-(11164, 11454)",11180.0,11420.0,0,0,0,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(11164, 11454)",11180.0,11420.0,0,0,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(11164, 11454)",11180.0,11420.0,0,0,0,0,0,1,0,1,0,1
24fc,test,sad,"24fc-(11164, 11454)",11180.0,11420.0,0,0,0,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(11854, 12370)",11854.0,12370.0,0,1,0,0,0,0,0,0,0,0
24fc,test,Gold,"24fc-(11854, 12370)",11854.0,12370.0,0,1,0,0,0,0,0,0,0,0
24fc,test,A2,"24fc-(11854, 12370)",11970.0,12290.0,0,1,0,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(11854, 12370)",11970.0,12290.0,0,1,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(11854, 12370)",11970.0,12290.0,0,1,0,0,0,1,0,1,0,1
24fc,test,sad,"24fc-(11854, 12370)",11970.0,12290.0,0,1,0,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(13454, 14672)",13454.0,14672.0,1,0,0,0,0,0,1,1,0,1
24fc,test,Gold,"24fc-(13454, 14672)",13454.0,14672.0,1,0,0,0,0,0,1,1,0,1
24fc,test,A2,"24fc-(13454, 14672)",13490.0,14550.0,0,0,1,0,1,1,1,1,0,1
24fc,test,bau,"24fc-(13454, 14672)",13490.0,14550.0,0,0,1,0,1,1,1,1,0,1
24fc,test,mas,"24fc-(13454, 14672)",13490.0,14550.0,0,0,1,0,1,1,1,1,0,1
24fc,test,sad,"24fc-(13454, 14672)",13490.0,14550.0,0,0,1,0,1,1,1,1,0,1
24fc,test,A2,"24fc-(15300, 19590)",15300.0,19590.0,1,0,1,0,0,1,0,1,0,2
24fc,test,Gold,"24fc-(15300, 19590)",15300.0,19590.0,0,0,1,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(15300, 19590)",15300.0,19590.0,1,0,1,0,0,1,0,1,0,2
24fc,test,mas,"24fc-(15300, 19590)",15300.0,19590.0,1,0,1,0,0,1,0,1,0,2
24fc,test,A1,"24fc-(15300, 19590)",15597.0,19292.0,0,0,1,0,0,0,0,1,0,1
24fc,test,sad,"24fc-(15300, 19590)",15597.0,19292.0,0,0,1,0,0,0,0,1,0,1
24fc,test,A1,"24fc-(19609, 19861)",19609.0,19861.0,0,0,0,1,0,0,0,0,0,0
24fc,test,bau,"24fc-(19609, 19861)",19609.0,19861.0,0,0,0,1,0,0,0,0,0,0
24fc,test,mas,"24fc-(19609, 19861)",19609.0,19861.0,0,0,0,1,0,0,0,0,0,0
24fc,test,sad,"24fc-(19609, 19861)",19609.0,19861.0,0,0,0,1,0,0,0,0,0,0
24fc,test,A1,"24fc-(21116, 23640)",21116.0,23038.0,1,1,0,0,0,0,1,0,0,1
24fc,test,Gold,"24fc-(21116, 23640)",21116.0,23640.0,0,1,0,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(21116, 23640)",21116.0,23038.0,1,1,0,0,0,0,1,0,0,1
24fc,test,A2,"24fc-(21116, 23640)",21140.0,23640.0,1,0,0,0,0,1,0,1,0,2
24fc,test,bau,"24fc-(21116, 23640)",21140.0,23640.0,1,0,0,0,0,1,0,1,0,2
24fc,test,mas,"24fc-(21116, 23640)",21140.0,23640.0,1,0,0,0,0,1,0,1,0,2
24fc,test,A2,"24fc-(26270, 26590)",26270.0,26590.0,1,0,0,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(26270, 26590)",26270.0,26590.0,1,0,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(26270, 26590)",26270.0,26590.0,1,0,0,0,0,1,0,1,0,1
24fc,test,sad,"24fc-(26270, 26590)",26270.0,26590.0,1,0,0,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(27519, 28292)",27519.0,28292.0,1,0,0,0,0,0,1,0,0,1
24fc,test,Gold,"24fc-(27519, 28292)",27519.0,28292.0,0,1,0,0,0,0,0,1,0,1
24fc,test,A2,"24fc-(27519, 28292)",27570.0,28130.0,1,1,0,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(27519, 28292)",27570.0,28130.0,1,1,0,0,0,0,0,1,0,1
24fc,test,mas,"24fc-(27519, 28292)",27570.0,28130.0,1,1,0,0,0,0,0,1,0,1
24fc,test,sad,"24fc-(27519, 28292)",27570.0,28130.0,1,1,0,0,0,0,0,1,0,1
24fc,test,A1,"24fc-(34000, 36910)",33936.0,34515.0,0,0,0,0,1,0,1,0,0,1
24fc,test,A1,"24fc-(33936, 34515)",33936.0,34515.0,0,0,0,0,1,0,1,0,0,1
24fc,test,Gold,"24fc-(34000, 36910)",33936.0,36910.0,1,0,0,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(33936, 34515)",33936.0,34515.0,0,0,0,0,1,0,1,0,0,1
24fc,test,sad,"24fc-(34000, 36910)",33936.0,34515.0,0,0,0,0,1,0,1,0,0,1
24fc,test,A2,"24fc-(34000, 36910)",34000.0,36910.0,1,0,0,0,0,1,0,1,0,1
24fc,test,A2,"24fc-(33936, 34515)",34000.0,36910.0,1,0,0,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(33936, 34515)",34000.0,36910.0,1,0,0,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(34000, 36910)",34000.0,36910.0,1,0,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(33936, 34515)",34000.0,36910.0,1,0,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(34000, 36910)",34000.0,36910.0,1,0,0,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(34000, 36910)",34515.0,36734.0,1,0,0,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(33936, 34515)",34515.0,36734.0,1,0,0,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(36980, 37149)",36980.0,37149.0,1,0,0,0,0,0,0,0,0,0
24fc,test,bau,"24fc-(36980, 37149)",36980.0,37149.0,1,0,0,0,0,0,0,0,0,0
24fc,test,mas,"24fc-(36980, 37149)",36980.0,37149.0,1,0,0,0,0,0,0,0,0,0
24fc,test,sad,"24fc-(36980, 37149)",36980.0,37149.0,1,0,0,0,0,0,0,0,0,0
24fc,test,A2,"24fc-(37810, 37990)",37810.0,37990.0,0,0,0,0,0,0,1,0,0,2
24fc,test,bau,"24fc-(37810, 37990)",37810.0,37990.0,0,0,0,0,0,0,1,0,0,2
24fc,test,mas,"24fc-(37810, 37990)",37810.0,37990.0,0,0,0,0,0,0,1,0,0,2
24fc,test,sad,"24fc-(37810, 37990)",37810.0,37990.0,0,0,0,0,0,0,1,0,0,2
24fc,test,A2,"24fc-(38488, 40872)",38488.0,40748.0,1,1,0,0,0,1,0,1,0,1
24fc,test,Gold,"24fc-(38488, 40872)",38488.0,40872.0,0,1,0,0,0,0,0,0,0,0
24fc,test,bau,"24fc-(38488, 40872)",38488.0,40748.0,1,1,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(38488, 40872)",38488.0,40748.0,1,1,0,0,0,1,0,1,0,1
24fc,test,sad,"24fc-(38488, 40872)",38488.0,40748.0,1,1,0,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(38488, 40872)",38499.0,40872.0,1,0,0,0,0,0,1,0,0,1
24fc,test,A2,"24fc-(43008, 48318)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,A2,"24fc-(43299, 45227)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,A2,"24fc-(45227, 46735)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,A2,"24fc-(47837, 48371)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,Gold,"24fc-(43008, 48318)",43008.0,48371.0,0,0,1,0,0,1,1,1,0,1
24fc,test,bau,"24fc-(43008, 48318)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,bau,"24fc-(43299, 45227)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,bau,"24fc-(45227, 46735)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,bau,"24fc-(47837, 48371)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,mas,"24fc-(43008, 48318)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,mas,"24fc-(43299, 45227)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,mas,"24fc-(45227, 46735)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,mas,"24fc-(47837, 48371)",43008.0,48318.0,0,0,1,0,1,1,1,1,0,1
24fc,test,A1,"24fc-(43008, 48318)",43299.0,45227.0,0,0,1,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(43299, 45227)",43299.0,45227.0,0,0,1,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(45227, 46735)",43299.0,45227.0,0,0,1,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(43008, 48318)",43299.0,45227.0,0,0,1,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(43299, 45227)",43299.0,45227.0,0,0,1,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(45227, 46735)",43299.0,45227.0,0,0,1,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(43008, 48318)",45227.0,46735.0,0,1,0,0,0,1,0,0,0,1
24fc,test,A1,"24fc-(43299, 45227)",45227.0,46735.0,0,1,0,0,0,1,0,0,0,1
24fc,test,A1,"24fc-(45227, 46735)",45227.0,46735.0,0,1,0,0,0,1,0,0,0,1
24fc,test,A1,"24fc-(43008, 48318)",47837.0,48371.0,0,0,0,1,0,1,0,0,0,1
24fc,test,A1,"24fc-(47837, 48371)",47837.0,48371.0,0,0,0,1,0,1,0,0,0,1
24fc,test,sad,"24fc-(47837, 48371)",47837.0,48371.0,0,0,0,1,0,1,0,0,0,1
24fc,test,A2,"24fc-(51470, 52550)",51470.0,52520.0,1,0,0,0,0,0,0,1,0,1
24fc,test,Gold,"24fc-(51470, 52550)",51470.0,52550.0,1,0,0,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(51470, 52550)",51470.0,52520.0,1,0,0,0,0,0,0,1,0,1
24fc,test,mas,"24fc-(51470, 52550)",51470.0,52520.0,1,0,0,0,0,0,0,1,0,1
24fc,test,A1,"24fc-(51470, 52550)",51677.0,52550.0,1,0,0,0,0,0,0,0,0,0
24fc,test,sad,"24fc-(51470, 52550)",51677.0,52550.0,1,0,0,0,0,0,0,0,0,0
24fc,test,A2,"24fc-(53080, 55680)",53080.0,55680.0,1,0,1,0,0,1,0,1,0,1
24fc,test,Gold,"24fc-(53080, 55680)",53080.0,55680.0,0,0,1,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(53080, 55680)",53080.0,55680.0,1,0,1,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(53080, 55680)",53080.0,55680.0,1,0,1,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(53080, 55680)",53121.0,55240.0,0,0,1,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(53080, 55680)",53121.0,55240.0,0,0,1,0,0,0,1,0,0,1
24fc,test,A2,"24fc-(57280, 59580)",57280.0,59580.0,1,0,0,1,0,0,0,1,0,1
24fc,test,A2,"24fc-(57627, 59720)",57280.0,59580.0,1,0,0,1,0,0,0,1,0,1
24fc,test,bau,"24fc-(57280, 59580)",57280.0,59580.0,1,0,0,1,0,0,0,1,0,1
24fc,test,bau,"24fc-(57627, 59720)",57280.0,59580.0,1,0,0,1,0,0,0,1,0,1
24fc,test,mas,"24fc-(57280, 59580)",57280.0,59580.0,1,0,0,1,0,0,0,1,0,1
24fc,test,mas,"24fc-(57627, 59720)",57280.0,59580.0,1,0,0,1,0,0,0,1,0,1
24fc,test,sad,"24fc-(57280, 59580)",57280.0,59580.0,1,0,0,1,0,0,0,1,0,1
24fc,test,Gold,"24fc-(57280, 59580)",57570.0,59640.0,1,0,0,0,0,0,1,1,0,1
24fc,test,A1,"24fc-(57280, 59580)",57627.0,59720.0,1,0,0,0,0,1,0,0,0,1
24fc,test,A1,"24fc-(59700, 61030)",57627.0,59720.0,1,0,0,0,0,1,0,0,0,1
24fc,test,A1,"24fc-(57627, 59720)",57627.0,59720.0,1,0,0,0,0,1,0,0,0,1
24fc,test,sad,"24fc-(57627, 59720)",57627.0,59720.0,1,0,0,0,0,1,0,0,0,1
24fc,test,sad,"24fc-(59700, 61030)",57627.0,59720.0,1,0,0,0,0,1,0,0,0,1
24fc,test,A2,"24fc-(59700, 61030)",59700.0,61030.0,0,0,1,0,0,0,0,1,0,1
24fc,test,A2,"24fc-(57627, 59720)",59700.0,61030.0,0,0,1,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(59700, 61030)",59700.0,61030.0,0,0,1,0,0,0,0,1,0,1
24fc,test,mas,"24fc-(59700, 61030)",59700.0,61030.0,0,0,1,0,0,0,0,1,0,1
24fc,test,Gold,"24fc-(59700, 61030)",59710.0,61210.0,0,0,1,0,0,0,0,0,0,0
24fc,test,A2,"24fc-(61900, 62850)",61900.0,62850.0,1,0,0,0,0,0,0,1,0,1
24fc,test,Gold,"24fc-(61900, 62850)",61900.0,62850.0,1,0,0,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(61900, 62850)",61900.0,62850.0,1,0,0,0,0,0,0,1,0,1
24fc,test,mas,"24fc-(61900, 62850)",61900.0,62850.0,1,0,0,0,0,0,0,1,0,1
24fc,test,A1,"24fc-(61900, 62850)",62216.0,62750.0,1,0,0,0,0,0,0,0,0,0
24fc,test,sad,"24fc-(61900, 62850)",62216.0,62750.0,1,0,0,0,0,0,0,0,0,0
24fc,test,A1,"24fc-(62959, 63390)",62959.0,63390.0,0,0,0,1,0,0,0,0,0,0
24fc,test,bau,"24fc-(62959, 63390)",62959.0,63390.0,0,0,0,1,0,0,0,0,0,0
24fc,test,mas,"24fc-(62959, 63390)",62959.0,63390.0,0,0,0,1,0,0,0,0,0,0
24fc,test,sad,"24fc-(62959, 63390)",62959.0,63390.0,0,0,0,1,0,0,0,0,0,0
24fc,test,A2,"24fc-(63770, 64990)",63770.0,64990.0,1,0,1,0,0,0,0,1,0,1
24fc,test,Gold,"24fc-(63770, 64990)",63770.0,64990.0,0,0,1,0,0,0,1,1,0,1
24fc,test,bau,"24fc-(63770, 64990)",63770.0,64990.0,1,0,1,0,0,0,0,1,0,1
24fc,test,mas,"24fc-(63770, 64990)",63770.0,64990.0,1,0,1,0,0,0,0,1,0,1
24fc,test,A1,"24fc-(63770, 64990)",63888.0,64990.0,0,0,1,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(63770, 64990)",63888.0,64990.0,0,0,1,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(65504, 66741)",65504.0,66741.0,0,0,0,0,1,0,1,0,0,1
24fc,test,Gold,"24fc-(65504, 66741)",65504.0,66741.0,0,0,0,0,1,0,1,0,0,1
24fc,test,A2,"24fc-(65504, 66741)",65510.0,66470.0,0,0,0,0,1,1,0,1,1,1
24fc,test,bau,"24fc-(65504, 66741)",65510.0,66470.0,0,0,0,0,1,1,0,1,1,1
24fc,test,mas,"24fc-(65504, 66741)",65510.0,66470.0,0,0,0,0,1,1,0,1,1,1
24fc,test,sad,"24fc-(65504, 66741)",65510.0,66470.0,0,0,0,0,1,1,0,1,1,1
24fc,test,A2,"24fc-(68320, 69000)",68320.0,69000.0,1,0,0,0,0,0,0,1,0,1
24fc,test,A2,"24fc-(68787, 69456)",68320.0,69000.0,1,0,0,0,0,0,0,1,0,1
24fc,test,Gold,"24fc-(68320, 69000)",68320.0,69456.0,1,0,0,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(68320, 69000)",68320.0,69000.0,1,0,0,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(68787, 69456)",68320.0,69000.0,1,0,0,0,0,0,0,1,0,1
24fc,test,mas,"24fc-(68320, 69000)",68320.0,69000.0,1,0,0,0,0,0,0,1,0,1
24fc,test,mas,"24fc-(68787, 69456)",68320.0,69000.0,1,0,0,0,0,0,0,1,0,1
24fc,test,A1,"24fc-(68320, 69000)",68787.0,69456.0,1,0,0,0,0,1,0,0,0,1
24fc,test,A1,"24fc-(68787, 69456)",68787.0,69456.0,1,0,0,0,0,1,0,0,0,1
24fc,test,sad,"24fc-(68320, 69000)",68787.0,69456.0,1,0,0,0,0,1,0,0,0,1
24fc,test,sad,"24fc-(68787, 69456)",68787.0,69456.0,1,0,0,0,0,1,0,0,0,1
24fc,test,A1,"24fc-(70335, 71403)",70335.0,71403.0,1,0,0,0,0,0,1,0,0,1
24fc,test,Gold,"24fc-(70335, 71403)",70335.0,71403.0,1,0,0,0,0,0,1,0,0,1
24fc,test,A2,"24fc-(70335, 71403)",70360.0,71340.0,1,0,0,0,0,1,0,1,1,1
24fc,test,bau,"24fc-(70335, 71403)",70360.0,71340.0,1,0,0,0,0,1,0,1,1,1
24fc,test,mas,"24fc-(70335, 71403)",70360.0,71340.0,1,0,0,0,0,1,0,1,1,1
24fc,test,sad,"24fc-(70335, 71403)",70360.0,71340.0,1,0,0,0,0,1,0,1,1,1
24fc,test,A2,"24fc-(71970, 72080)",71970.0,72080.0,0,0,0,0,1,0,0,1,0,1
24fc,test,bau,"24fc-(71970, 72080)",71970.0,72080.0,0,0,0,0,1,0,0,1,0,1
24fc,test,mas,"24fc-(71970, 72080)",71970.0,72080.0,0,0,0,0,1,0,0,1,0,1
24fc,test,sad,"24fc-(71970, 72080)",71970.0,72080.0,0,0,0,0,1,0,0,1,0,1
24fc,test,A1,"24fc-(72885, 74421)",72885.0,74421.0,1,0,0,0,0,0,1,0,0,1
24fc,test,Gold,"24fc-(72885, 74421)",72885.0,74421.0,1,0,0,0,0,0,1,0,0,1
24fc,test,A2,"24fc-(72885, 74421)",72930.0,74150.0,1,0,0,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(72885, 74421)",72930.0,74150.0,1,0,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(72885, 74421)",72930.0,74150.0,1,0,0,0,0,1,0,1,0,1
24fc,test,sad,"24fc-(72885, 74421)",72930.0,74150.0,1,0,0,0,0,1,0,1,0,1
24fc,test,A2,"24fc-(74940, 77480)",74940.0,77480.0,0,0,1,0,0,1,0,1,0,1
24fc,test,Gold,"24fc-(74940, 77480)",74940.0,77480.0,0,0,1,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(74940, 77480)",74940.0,77480.0,0,0,1,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(74940, 77480)",74940.0,77480.0,0,0,1,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(74940, 77480)",75243.0,77364.0,0,0,1,0,0,1,1,0,0,1
24fc,test,sad,"24fc-(74940, 77480)",75243.0,77364.0,0,0,1,0,0,1,1,0,0,1
24fc,test,A2,"24fc-(77910, 79280)",77910.0,79280.0,1,0,0,0,0,1,0,1,0,1
24fc,test,Gold,"24fc-(77910, 79280)",77910.0,79280.0,1,0,0,0,0,1,0,1,0,1
24fc,test,bau,"24fc-(77910, 79280)",77910.0,79280.0,1,0,0,0,0,1,0,1,0,1
24fc,test,mas,"24fc-(77910, 79280)",77910.0,79280.0,1,0,0,0,0,1,0,1,0,1
24fc,test,A1,"24fc-(77910, 79280)",78438.0,79184.0,1,0,0,0,0,0,0,0,0,0
24fc,test,sad,"24fc-(77910, 79280)",78438.0,79184.0,1,0,0,0,0,0,0,0,0,0
24fc,test,A1,"24fc-(79515, 79811)",79515.0,79811.0,0,0,0,1,0,1,1,0,0,1
24fc,test,bau,"24fc-(79515, 79811)",79515.0,79811.0,0,0,0,1,0,1,1,0,0,1
24fc,test,mas,"24fc-(79515, 79811)",79515.0,79811.0,0,0,0,1,0,1,1,0,0,1
24fc,test,sad,"24fc-(79515, 79811)",79515.0,79811.0,0,0,0,1,0,1,1,0,0,1
24fc,test,A2,"24fc-(80110, 81570)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,A2,"24fc-(80178, 81030)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,A2,"24fc-(81474, 81613)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,Gold,"24fc-(80110, 81570)",80110.0,81613.0,0,0,1,0,0,0,1,1,0,1
24fc,test,bau,"24fc-(80110, 81570)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,bau,"24fc-(80178, 81030)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,bau,"24fc-(81474, 81613)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,mas,"24fc-(80110, 81570)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,mas,"24fc-(80178, 81030)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,mas,"24fc-(81474, 81613)",80110.0,81570.0,0,0,1,0,1,1,0,1,0,1
24fc,test,A1,"24fc-(80110, 81570)",80178.0,81030.0,0,0,1,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(80178, 81030)",80178.0,81030.0,0,0,1,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(80110, 81570)",80178.0,81030.0,0,0,1,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(80178, 81030)",80178.0,81030.0,0,0,1,0,0,0,1,0,0,1
24fc,test,A1,"24fc-(80110, 81570)",81474.0,81613.0,0,1,0,0,0,0,0,0,0,0
24fc,test,A1,"24fc-(81474, 81613)",81474.0,81613.0,0,1,0,0,0,0,0,0,0,0
24fc,test,sad,"24fc-(81474, 81613)",81474.0,81613.0,0,1,0,0,0,0,0,0,0,0
24fc,test,A2,"24fc-(85920, 87250)",85920.0,87250.0,1,0,0,0,1,1,1,0,0,1
24fc,test,Gold,"24fc-(85920, 87250)",85920.0,87250.0,1,0,0,0,1,0,1,0,0,1
24fc,test,bau,"24fc-(85920, 87250)",85920.0,87250.0,1,0,0,0,1,1,1,0,0,1
24fc,test,mas,"24fc-(85920, 87250)",85920.0,87250.0,1,0,0,0,1,1,1,0,0,1
24fc,test,A1,"24fc-(85920, 87250)",86453.0,87245.0,0,1,0,0,0,0,1,0,0,1
24fc,test,sad,"24fc-(85920, 87250)",86453.0,87245.0,0,1,0,0,0,0,1,0,0,1
24fc,test,A2,"24fc-(87970, 90300)",87970.0,90300.0,1,0,0,0,1,1,1,1,0,1
24fc,test,Gold,"24fc-(87970, 90300)",87970.0,90300.0,1,0,0,0,1,0,1,0,0,1
24fc,test,bau,"24fc-(87970, 90300)",87970.0,90300.0,1,0,0,0,1,1,1,1,0,1
24fc,test,mas,"24fc-(87970, 90300)",87970.0,90300.0,1,0,0,0,1,1,1,1,0,1
24fc,test,A1,"24fc-(87970, 90300)",87973.0,90178.0,1,0,0,0,0,0,1,0,0,2
24fc,test,sad,"24fc-(87970, 90300)",87973.0,90178.0,1,0,0,0,0,0,1,0,0,2
24fc,test,A1,"24fc-(92215, 95259)",92215.0,95259.0,1,1,0,0,0,0,1,0,0,2
24fc,test,Gold,"24fc-(92215, 95259)",92215.0,95259.0,0,0,1,0,0,0,1,0,0,1
24fc,test,A2,"24fc-(92215, 95259)",92270.0,94750.0,0,0,1,0,0,1,1,1,0,1
24fc,test,bau,"24fc-(92215, 95259)",92270.0,94750.0,0,0,1,0,0,1,1,1,0,1
24fc,test,mas,"24fc-(92215, 95259)",92270.0,94750.0,0,0,1,0,0,1,1,1,0,1
24fc,test,sad,"24fc-(92215, 95259)",92270.0,94750.0,0,0,1,0,0,1,1,1,0,1
24fc,test,A2,"24fc-(97770, 100320)",97770.0,100320.0,1,0,0,0,1,1,1,1,0,1
24fc,test,A2,"24fc-(98116, 98996)",97770.0,100320.0,1,0,0,0,1,1,1,1,0,1
24fc,test,A2,"24fc-(99001, 100464)",97770.0,100320.0,1,0,0,0,1,1,1,1,0,1
24fc,test,Gold,"24fc-(97770, 100320)",97770.0,100464.0,1,0,0,0,1,0,1,1,0,1
24fc,test,bau,"24fc-(97770, 100320)",97770.0,100320.0,1,0,0,0,1,1,1,1,0,1
24fc,test,bau,"24fc-(98116, 98996)",97770.0,100320.0,1,0,0,0,1,1,1,1,0,1
