media_file,annotator,start,end,label
39f,A2,36980,39180,MUR;HM;2
39f,A2,39235,39525,_;V;0
39f,A2,40150,41640,MUR;0;0
39f,A2,41660,41810,_;V;1
39f,A2,43410,43670,_;V;0
39f,A2,44340,45620,SR;FG;1
39f,A2,45740,45990,_;V;0
39f,A2,48345,48495,_;V;1
39f,A2,50510,50780,_;V;0
39f,A2,51960,52680,_;V;0
39f,A2,53850,54460,_;V;0
39f,A2,54545,55185,SR;FG;1
39f,A2,56560,57860,_;V;0
39f,A2,57940,59650,ISR;0;1
39f,A2,61400,62590,ISR;FG;1
39f,A2,67000,68160,ISR;V;1
39f,A2,68700,69420,_;V;1
39f,A2,69880,71030,MUR;0;1
39f,A2,72265,73175,B;V+HM;1
39f,A2,73875,75025,SR:V;1
39f,A2,76050,76230,_;V;0
39f,A2,76260,76940,SR;FG;1
39f,A2,77920,78520,_;V;1
39f,A2,79065,79715,_;V;1
39f,A2,79765,80415,_;V;1
39f,A2,81200,81460,_;V;1
39f,A2,81480,82220,SR;V;1
39f,A2,83240,83520,P;FG;1
39f,A2,83610,84350,SR;V;1
39f,A2,84380,84570,_;V;1
39f,A2,85070,86160,SR;HM;1
39f,A2,87755,88395,SR;0;1
39f,A2,90010,90900,SR;V;1
39f,A2,91770,92070,_;V;1
39f,A2,92110,93000,SR;V;1
39f,A2,94470,94900,_;V;1
39f,A2,95065,95585,SR;V+HM;1
39f,A2,96605,97125,SR;FG;1
39f,A2,98460,99670,SR;V;1
39f,A2,100300,100870,_;V;1
39f,A2,101115,103215,SR+P;FG+HM;2
39f,A2,104075,104535,B;HM;1
39f,A2,106155,106915,MUR;0;1
39f,A2,107960,108100,_;V;1
39f,A2,108110,108450,SR;0;1
39f,A2,109430,110120,SR;0;1
39f,A2,110160,110240,_;V;1
39f,A2,111855,112355,ISR;0;1
39f,A2,113530,113710,_;V;1
39f,A2,115585,115895,B;0;1
39f,A2,115910,116130,_;V;1
39f,A2,117540,117720,_;V;1
39f,A2,119200,119280,_;V;1
39f,A2,120770,121080,_;V;1
39f,A2,121200,121480,SR;V;1
39f,A2,125575,126195,_;V;1
39f,A2,129005,130485,ISR+SR;0;1
39f,A2,130500,131230,_;V;1
39f,A2,131440,134600,SR;FG+HM;2
39f,A2,135580,136770,ISR+SR;FG;1
39f,A2,136890,137060,_;V;1
39f,A2,137675,137835,_;V;1
39f,A2,137841,139151,ISR;HM;1
39f,A2,140239,142039,SR+MUR;HM;1
39f,A2,142950,143250,_;V;1
39f,A2,143420,144810,SR;V+HM;1
39f,A2,146475,146725,SR;0;1
39f,A2,147280,147460,_;V;1
39f,A2,148410,149180,ISR;FG;1
39f,A2,151080,151640,ISR;FG;2
39f,A2,153830,154220,_;V;1
39f,A2,154250,154940,ISR;FG;1
39f,A2,156860,156990,_;V;1
39f,A2,157005,157755,SR;FG;1
39f,A2,160620,160760,_;V;1
39f,A2,162690,163050,_;V;1
39f,A2,165740,165940,_;V;1
39f,A2,166650,167450,_;V+FG;1
39f,A2,168170,168390,_;V;1
39f,A2,168425,168975,ISR;FG;1
39f,A2,170550,170720,_;V;1
39f,A2,170730,172250,SR;V+FG+HM;2
39f,A2,174060,174280,_;V;1
39f,A2,174295,174725,SR;0;1
39f,A2,175580,175660,_;V;1
39f,A2,176750,176970,_;V;1
39f,A2,177020,177380,SR;0;1
39f,A2,179850,180330,_;V;1
39f,A2,180350,181770,SR;FG;1
39f,A2,182870,183170,_;V;1
39f,A2,183310,184020,_;V;1
39f,A2,185610,185800,_;V;1
39f,A2,185810,186420,SR;V+FG;1
39f,A2,188890,189380,_;V;1
39f,A2,189390,189720,_;V;1
39f,A2,190730,191180,_;V;1
39f,A2,191630,191820,B;0;1
39f,A2,191880,192470,SR;V;1
39f,A2,192530,193240,_;V;1
39f,A2,194630,195480,P;FG;1
39f,A2,195520,195660,_;V;1
39f,A2,195680,196660,ISR;FG;1
39f,A2,198180,198350,_;V;1
39f,A2,198970,199440,SR;V+FG;1
39f,A2,201390,201740,_;V;1
39f,A2,204390,204560,_;V;1
39f,A2,205130,205350,_;V;1
39f,A2,206340,207210,_;V;1
39f,A2,207650,208500,_;V;1
39f,A2,208550,208770,_;V;1
39f,A2,209840,210160,_;V;1
39f,A2,210260,210870,SR;FG;1
39f,A2,213510,214710,SR;V+FG;2
39f,A2,215505,215655,_;V;1
39f,A2,216510,217100,_;V;1
39f,A2,217150,217490,_;V;1
39f,A2,218010,218310,_;V;1
39f,A2,219040,219330,_;V;1
39f,A2,219400,219940,ISR;V+FG;1
39f,A2,221180,221650,SR;FG;1
39f,A3,2830,4030,SR;0;0
39f,A3,4350,5470,ISR;V;0
39f,A3,6440,8100,SR;0;1
39f,A3,8350,9130,SR;0;0
39f,A3,9860,10810,_;V;0
39f,A3,10830,12270,MUR;V;0
39f,A3,12290,12520,ISR;0;0
39f,A3,13550,16020,_;V;1
39f,A3,17000,17190,_;V;0
39f,A3,17240,17530,_;V;0
39f,A3,19440,22160,MUR;V;0
39f,A3,24260,25480,ISR;V;0
39f,A3,26160,27130,SR;V;0
39f,A3,28930,29820,ISR;V;0
39f,A3,31340,31670,_;V;0
39f,A3,31730,32560,SR;0;0
39f,A3,33560,34340,SR;0;0
39f,A3,35360,36490,ISR;0;0
39f,A3,36970,39220,MUR;0;0
39f,A3,39250,39640,_;V;0
39f,A3,40180,41620,SR;0;0
39f,A3,43520,43750,_;V;0
39f,A3,44350,45720,SR;0;0
39f,A3,45840,46050,_;V;0
39f,A3,47840,48770,SR;V;0
39f,A3,50560,50720,_;V;0
39f,A3,52190,52610,_;V;0;
39f,A3,54410,54580,_;V;0
39f,A3,54700,55650,SR;V;0
39f,A3,57190,58110,_;V;0;
39f,A3,58150,58840,SR;V;0
39f,A3,59230,59910,ISR;0;0
39f,A3,61410,62580,ISR;0;0
39f,A3,66890,68370,_;V;0
39f,A3,68870,69580,_;V;0
39f,A3,69970,71180,SR;0;0
39f,A3,72420,73360,SR;0;0
39f,A3,74490,75480,_;V;0
39f,A3,76460,77210,SR;0;0
39f,A3,78350,78650,_;V;0
39f,A3,79140,80690,_;V;0
39f,A3,81760,82690,SR;V;0
39f,A3,83480,84490,ISR;V;0
39f,A3,84490,84730,_;V;0
39f,A3,85090,86290,SR;V;1
39f,A3,87990,88520,SR;0;0
39f,A3,90140,91300,SR;0;0
39f,A3,91890,92150,_;V;0
39f,A3,92290,93730,ISR;0;0
39f,A3,94530,95110,_;V;0
39f,A3,95140,95900,ISR;0
39f,A3,96540,97420,ISR;0;0
39f,A3,98530,99000,_;V;0
39f,A3,99040,99870,SR;0;0
39f,A3,100860,103570,SR;FG;0
39f,A3,104000,104900,ISR;0;0
39f,A3,106170,107840,SR;0;0
39f,A3,108150,109010,SR;0;0
39f,A3,109440,110190,SR;0;0
39f,A3,111870,112970,ISR;0;0
39f,A3,113570,113840,_;V;0
39f,A3,115840,116230,_;V;0
39f,A3,121250,121870,SR;0;0
39f,A3,125770,126500,_;V;0
39f,A3,128950,130600,ISR;0;0
39f,A3,130820,131800,_;V;1
39f,A3,131820,134330,SR;FG;1
39f,A3,135510,136970,ISR;FG;0
39f,A3,137670,137810,_;V;0
39f,A3,138030,139540,ISR;0;0
39f,A3,140360,140960,ISR;0;0
39f,A3,141000,142020,MUR;FG;0
39f,A3,142550,144940,SR;FG;0
39f,A3,147390,147520,_;V;1
39f,A3,148550,149410,SR;0;0
39f,A3,151050,152280,ISR;0;0
39f,A3,154040,154150,_;V;0
39f,A3,154470,155240,ISR;0;0
39f,A3,156940,157190,_;V;0
39f,A3,157430,157950,SR;0;0
39f,A3,165800,165930,ISR;0;0
39f,A3,166980,167520,_;V;0
39f,A3,168230,168450,_;V;0
39f,A3,168560,169230,SR;0;0
39f,A3,170500,170880,_;V;0
39f,A3,170910,172720,SR;FG;0
39f,A3,174050,174240,_;V;0
39f,A3,174460,175120,SR;FG;0
39f,A3,175610,175850,_;V;0
39f,A3,177110,177670,SR;0;0
39f,A3,180085,180315,_;V;0
39f,A3,180540,182030,SR;0;0
39f,A3,183110,183850,_;V;0
39f,A3,185680,185800,_;V;0
39f,A3,185920,186590,SR;0;0
39f,A3,189030,189840,_;V;0
39f,A3,190960,191170,_;V;0
39f,A3,191930,193040,_;V;0
39f,A3,195930,196980,ISR;0;0
39f,A3,198230,198430,_;V;0
39f,A3,199050,199600,_;V;0
39f,A3,201530,201680,_;V;0
39f,A3,204430,204600,_;V;0
39f,A3,205210,205530,_;V;0
39f,A3,206670,208660,_;V;0
39f,A3,209130,209460,B;0;0
39f,A3,210030,210160,_;V;0
39f,A3,210420,211040,ISR;0;0
39f,A3,212270,212810,B;0;0
39f,A3,213640,215080,ISR;0;0
39f,A3,216740,217500,_;V;0
39f,A3,217920,218290,_;V;0
39f,A3,219120,219270,_;V;0
39f,A3,219450,220380,ISR;0;0
39f,A3,221190,221930,SR;0;0
39f,A1,4100,5360,SR;0;0
39f,A1,5990,6190,_;V;0
39f,A1,7460,7960,P;FG;1
39f,A1,8110,8310,_;V;0
39f,A1,8450,8820,SR;0;0
39f,A1,10060,10360,_;V;0
39f,A1,12630,12840,_;V;0
39f,A1,13690,15750,_;V;0
39f,A1,16830,17000,_;V;0
39f,A1,17490,17670,_;V;0
39f,A1,18221,18824,ISR;FG;1
39f,A1,19525,20365,_;V;0
39f,A1,21026,21227,_;V;0
39f,A1,21231,21675,P;FG+HM;1
39f,A1,22613,22866,_;V;0
39f,A1,24247,25293,ISR;0;0
39f,A1,25778,25907,_;V;0
39f,A1,26009,27107,SR;0;0
39f,A1,28705,29788,ISR;0;0
39f,A1,31299,31469,_;0;0
39f,A1,31665,32165,ISR;FG;1
39f,A1,35325,36335,ISR;0;0
39f,A1,37598,38727,B;HM;1
39f,A1,39335,39453,_:V:0
39f,A1,40561,41303,B;0;0
39f,A1,41711,41788,_;V;0
39f,A1,43423,43624,_;V;0
39f,A1,44628,45422,B;FG;1
39f,A1,45721,45938,_;V;0
39f,A1,48417,48520,_;V;0
39f,A1,54324,54510,_;V;0
39f,A1,54536,55505,SR;FG;1
39f,A1,56870,58046,_;V;0
39f,A1,58051,58468,SR;0;0
39f,A1,58912,59839,SR;FG;1
39f,A1,61453,62793,ISR;FG;1
39f,A1,67489,68159,_;V;0
39f,A1,68809,69263,_;V;0
39f,A1,72180,73293,SR+B;0;0
39f,A1,74432,75128,_;FG;1
39f,A1,75845,76247,_;V;0
39f,A1,76289,76897,ISR;FG;1
39f,A1,78190,78654,_;V;0
39f,A1,79423,80655,_;V;0
39f,A1,81489,81623,_;0;0
39f,A1,81737,82536,SR;FG;1
39f,A1,83082,83530,P;0;0
39f,A1,83670,84309,ISR;0;0
39f,A1,84464,84603,_;0;0
39f,A1,85097,86071,ISR;0;0
39f,A1,87943,88448,SR;0;0
39f,A1,90118,90912,SR;0;0
39f,A1,91881,92098,_;0;0
39f,A1,92262,93499,SR;FG;1
39f,A1,94897,95855,ISR;0;0
39f,A1,96309,97334,ISR;0;0
39f,A1,98691,98902,_;0;0
39f,A1,98999,99716,SR;0;0
39f,A1,101556,103226,SR+P;FG;1
39f,A1,103979,104825,SR;FG;1
39f,A1,105319,105572,_;0;0
39f,A1,106067,107484,SR;0;0
39f,A1,108118,108948,SR;0;0
39f,A1,109561,110113,SR;0;0
39f,A1,110216,110345,_;0;0
39f,A1,110927,111206,_0;0
39f,A1,111829,112669,ISR;FG;1
39f,A1,113546,113742,_;V;0
39f,A1,115994,116134,_;V;0
39f,A1,117587,117737,_;V;0
39f,A1,119061,119324,_;V;0
39f,A1,120876,121015,_;V;0
39f,A1,121190,121829,SR;0;0
39f,A1,125763,126082,_;V;0
39f,A1,128969,130067,SR;0;0
39f,A1,130633,131690,_;V;0
39f,A1,131706,134247,SR;FG+V;1
39f,A1,135587,137025,ISR;0;0
39f,A1,137025,137144,_;0;0
39f,A1,137881,139484,ISR;V;1
39f,A1,140062,140649,ISR;0;0
39f,A1,143231,143350,_;0;0
39f,A1,143412,144175,P;0;0
39f,A1,147350,147479,_;0;0
39f,A1,148504,149303,ISR;FG;1
39f,A1,151087,151906,SR;HM;1
39f,A1,154036,154185,_;V;0
39f,A1,154216,155170,ISR;FG;1
39f,A1,156897,157093,_;V;0
39f,A1,157190,157845,SR;FG;1
39f,A1,160628,160768,_;V;0
39f,A1,162850,163066,_;V;0
39f,A1,165820,165990,_;V;0
39f,A1,166773,167479,_;V;0
39f,A1,168211,168391,_;V;0
39f,A1,168397,169144,SR;FG;1
39f,A1,170556,170680,_;V;0
39f,A1,170721,172695,SR;FG;1
39f,A1,174082,174283,_;V;0
39f,A1,174463,174943,SR;0;0
39f,A1,175582,175783,_;V;0
39f,A1,176814,176989,_;V;0
39f,A1,177092,177566,SR;0;0
39f,A1,180231,180355,_;V;0
39f,A1,180520,181989,SR;0;0
39f,A1,182912,184098,_;V;0
39f,A1,185613,185809,_;V;0
39f,A1,185855,186541,SR;FG;1
39f,A1,188891,189097,_;V;0
39f,A1,189505,189722,_;V;0
39f,A1,190917,191102,_;V;0
39f,A1,191700,193272,_;V;0
39f,A1,194638,195520,P;V+FG;1
39f,A1,195562,195665,_;V;0
39f,A1,195897,196938,SR;FG;1
39f,A1,198257,198355,_;V;0
39f,A1,199025,199432,_;V;0
39f,A1,201515,201675,_;V;0
39f,A1,204407,204551,_;V_0
39f,A1,205164,205355,_;V_0
39f,A1,206623,208829,_;V;0
39f,A1,210030,210237,_;V;0
39f,A1,210397,211020,ISR;0;0
39f,A1,213561,214917,SR;FG;1
39f,A1,216721,217448,_;V;0
39f,A1,218191,218325,_;V;0
39f,A1,219128,219288,_;V;0
39f,A1,219432,220360,ISR;0;0
39f,A1,221108,221736,SR;0;0
50fa,A2,1920,2320,_;FG+HM;1
50fa,A2,2850,4220,P;FG+HM;2
50fa,A2,9210,9860,P+ISR;FG+HM;2
50fa,A2,10760,11170,_;HM;1
50fa,A2,12210,12740,_;FG+HM;1
50fa,A2,13290,13380,ISR;FG+HM;2
50fa,A2,16190,16660,_;FG+HM;1
50fa,A2,24700,25180,_;FG;1
50fa,A2,25960,26490,_;FG+HM;1
50fa,A2,27600,27910,_;HM;1
50fa,A2,28290,29260,B;FG+HM;2
50fa,A2,33885,34215,ISR;FG+HM;2
50fa,A2,39920,43210,B;FG+HM;2
50fa,A2,44070,46530,B;FG+HM;2
50fa,A2,48330,48650,B;0;2
50fa,A2,49510,50100,_;FG+HM;1
50fa,A2,50780,51160,_;FG+HM;1
50fa,A2,52320,53800,ISR;FG+HM;2
50fa,A2,55420,55780,_;FG+HM;1
50fa,A2,56060,56540,_;FG+HM;1
50fa,A2,58630,59190,_;FG+HM;1
50fa,A2,66970,67530,_;FG;1
50fa,A2,70070,70510,_;FG;1
50fa,A2,75770,75870,P;0;1
50fa,A2,78120,78720,_;FG+HM;1
50fa,A2,79560,79920,_;FG;1
50fa,A2,82300,82880,_;FG+HM;1
50fa,A2,83340,83610,_;FG+HM;1
50fa,A2,84330,84760,_;FG+HM;1
50fa,A2,85560,86020,_;FG+HM;1
50fa,A2,86570,86970,_;FG+HM;1
50fa,A2,93730,94110,_;FG+HM;1
50fa,A2,95670,98230,B;V+FG+HM;2
50fa,A3,2830,4290,P;0;0
50fa,A3,9580,10010,ISR;0;0
50fa,A3,13220,13690,ISR;0;0
50fa,A3,28310,29440,ISR;0;0
50fa,A3,33900,34350,ISR;0;0
50fa,A3,39910,43380,ISR;0;0
50fa,A3,43740,46740,ISR;0;0
50fa,A3,52750,54090,ISR;0;0
50fa,A3,75660,76100,P;0;0
50fa,A3,95540,98510,ISR;0;0
50fa,A3,99780,100250,SR;0;0
