media_file,annotator,start,end,label
50fb,PAR,864075,864275,and [/] and [/] and a positive experience is being able to [/] to  talk to my coworkers and discuss very nasty technical problems with  them .
50fb,PAR,864275,913091,and [/] and have the information transfer be [/] be complete .
50fb,PAR,913091,928608,and [/] and [/] and also being able to have good long conversations  with my friends .
50fb,PAR,946478,949215,I honestly can't think of anything .
50fb,PAR,977747,983551,&-um be patient .
50fb,PAR,983551,986883,let the person start .
50fb,PAR,986883,989301,and finish their thought .
50fb,PAR,989301,990887,do not interrupt them .
50fb,PAR,990887,998557,<do not> [/] do not talk over them .
50fb,PAR,998557,1004356,do not fill in their words .
50fb,PAR,1004356,1015814,do not tell them to just relax .
50fb,PAR,1015814,1017549,and it will all be fine .
50fb,PAR,1017549,1025671,because those are two sure fire ways of getting yourself killed .
50fb,PAR,1025671,1029241,in a very ugly and gory fashion .
50fb,PAR,1029241,1048443,and [/] and [/] and if you're speaking on the phone with somebody  who stutters for god's sake don't hang up .
35ma,INV,0,16219,please talk about the impact of stuttering on your daily life you  can talk about your interactions with family and friends school and  or work and your participation in community activities .
35ma,INV,87724,90817,what do you think causes stuttering ?
35ma,INV,153968,164279,if you have received treatment for your stuttering tell me about  your therapy experiences and the outcomes of these therapies ?
35ma,INV,245447,256074,please describe what successful communication means to you and can  you give an example of a positive communicative experience ?
35ma,INV,317320,323789,if you didn't stutter what might be different in your life ?
35ma,INV,342856,355257,what else would you wanna say to students or the general public to  help them learn about stuttering or ways to support people who  stutter ?
35ma,INV,361657,372202,for [/] for students or the general public so people who don't know  much about stuttering .
35ma,INV,372202,372402,thank you very much .
35ma,PAR,16219,34667,it's very difficult and I'm trying to [/] to avoid some stressful  situations .
35ma,PAR,34667,41033,interactions .
35ma,PAR,41033,50342,so I would xxx say a huge impact on [/] on my life .
35ma,PAR,50342,82393,and <it's hard> [/] it's hard for me to maintain the relations with  friends (be)cause I don't like to make phone calls checking up on  them .
35ma,PAR,82393,87724,so yeah .
35ma,PAR,90817,100057,I'm pretty sure it's stressful situations .
35ma,PAR,100057,121116,and like <it's it's> [/] it's weird (be)cause when I talk to people  I know well I stutter less .
35ma,PAR,121116,127866,oh and with strangers I stutter more .
35ma,PAR,127866,148069,and also I don't stutter when I whisper or [/] or sing or when I'm  like angry .
35ma,PAR,148069,151914,I don't .
35ma,PAR,151914,153968,yeah so .
35ma,PAR,164279,173939,I took a few therapies .
35ma,PAR,173939,174139,and it [/] it looked like <I was> [/] I was practicing speech tools  .
35ma,PAR,174139,210152,the therapies I was I [/] I was reading aloud and clearly to keep  the right tempo of my speech .
35ma,PAR,210152,242923,and you_know but after therapy <I I> [/] I was speaking fluent but  then right after coming back home it came back to my normal speech  of stuttering .
35ma,PAR,242923,245447,yeah .
35ma,PAR,256074,274726,successful communication is <when you can> [/] when you can say  anything anytime with no struggling .
35ma,PAR,274726,274926,that would be .
35ma,PAR,274926,308064,xxx and also sometimes I have moments when I [/] I can make a phone  call for a few minutes and speaking fluently .
35ma,PAR,308064,317320,so those are my successes in speech .
35ma,PAR,317320,317520,I would have a different job .
35ma,PAR,323789,334285,I [/] I would graduate some better school .
35ma,PAR,334285,334485,and I guess I would have more friends .
35ma,PAR,335370,342856,so it would be huge .
35ma,PAR,355257,361657,for people who stutter or for students ?
35ma,PAR,372202,392656,okay so definitely people who stutter are as much intelligent as  those who don't .
35ma,PAR,392656,403501,and they are pretty normal people except speech difficulty .
35ma,PAR,403501,408801,I guess that's all .
35ma,PAR,408801,409001,thank you .
35ma,PAR,409001,411923,thank you .
24fc,INV,79,159,okay .
24fc,INV,159,6301,so could you tell me a little bit about the impact of stuttering on  your everyday life ?
24fc,INV,6301,10969,&-um and you can talk about how it's affecting interactions with  your family and friends .
24fc,INV,10969,11049,school .
24fc,INV,11049,12659,work .
24fc,INV,12659,12859,social life .
24fc,INV,12859,14271,anything you want .
24fc,INV,14271,14351,okay .
24fc,INV,121990,123740,sounds good .
24fc,INV,123740,123940,&-um have you ever received therapy for your stuttering ?
24fc,INV,123940,124140,and if so &-um how did that work out ?
24fc,INV,124140,124340,anything help ?
24fc,INV,124340,124540,or not help ?
24fc,INV,124540,131694,in a big way ?
24fc,INV,131694,131774,yeah .
24fc,INV,131774,131854,yeah .
24fc,INV,131854,131934,cool .
24fc,INV,131934,132014,okay .
24fc,INV,210892,216684,&-um what do you think successful communication looks like ?
24fc,INV,216684,216884,&-um in other words .
24fc,INV,216884,223418,what would you think would be a really good example of a positive  communication interaction ?
24fc,INV,223418,223498,cool .
24fc,INV,223498,223578,okay .
24fc,INV,223578,223778,have you ever stopped to think .
24fc,INV,223778,223978,if you didn't stutter .
24fc,INV,223978,224178,what might be different in your life ?
24fc,INV,224178,224258,okay .
24fc,INV,224258,224458,like what ?
24fc,INV,224458,224658,don't worry .
24fc,INV,224658,224738,okay .
24fc,INV,382679,388616,do you have any thoughts about what causes stuttering ?
24fc,INV,388616,388816,I can't wait either .
24fc,INV,388816,389016,the two of us will be very happy when we find out .
24fc,INV,431986,440775,&-uh so the last thing is &-uh very important .
24fc,INV,440775,440975,because_of the project .
24fc,INV,440975,441175,is there anything that you would like to say .
24fc,INV,441175,447143,to students who are studying to become speech pathologists .
24fc,INV,447143,448861,who might work with people who stutter ?
24fc,INV,448861,449061,well you had some things told to you .
24fc,INV,449061,449261,that didn't help .
24fc,INV,498083,500446,right ?
24fc,PAR,14271,19791,&-um I would say that it has impacted my life .
24fc,PAR,19791,25527,&-um <I> [//] when I was like younger in school .
24fc,PAR,25527,33231,I will hate to do like the oral presentation .
24fc,PAR,33231,41734,and I will even ask my [/] &-um my [/] my teacher .
24fc,PAR,41734,47687,<to> [//] like either to not do them .
24fc,PAR,47687,50271,or to do it like in front of him only .
24fc,PAR,50271,50351,or her .
24fc,PAR,50351,50431,only .
24fc,PAR,50431,54154,instead of in front of everybody else .
24fc,PAR,54154,59426,&-um it didn't impact me for like my like friendship .
24fc,PAR,59426,61611,my friends just don't care .
24fc,PAR,61611,64378,<they are> [/] they are so sweet .
24fc,PAR,64378,64578,&-um my family member too .
24fc,PAR,64578,69755,&-uh they just wanna like help me .
24fc,PAR,69755,73166,and I know it's been hard for them .
24fc,PAR,73166,73366,it was all like new things .
24fc,PAR,73366,73566,they didn't know <how> [//] what to what [/] what [/] what to do .
24fc,PAR,73566,83537,or like how [/] how they could like help me .
24fc,PAR,83537,83737,but <we all> [//] we get all through [/] through [/] through [/]  through it .
24fc,PAR,83737,83937,and &-um as part of my like job +//.
24fc,PAR,83937,98194,&-um I recently &-uh got a job .
24fc,PAR,98194,98394,and I pass one interview .
24fc,PAR,98394,98594,and <I got> [//] I [/] I got it .
24fc,PAR,98594,103595,so .
24fc,PAR,103595,103795,I wouldn't say it has impacted me .
24fc,PAR,103795,103995,I'm pretty confident .
24fc,PAR,103995,113234,so .
24fc,PAR,113234,113434,I think it just like pass through it .
24fc,PAR,113434,113634,and it's just okay fine .
24fc,PAR,113634,113834,like it's okay .
24fc,PAR,113834,121990,so .
24fc,PAR,121990,122190,&-um yes I did .
24fc,PAR,131694,136095,when I was younger .
24fc,PAR,136095,141849,so like for &-uh like when I was like six to when I was like  eighteen .
24fc,PAR,141849,147175,I had the therapy .
24fc,PAR,147175,147375,on and off .
24fc,PAR,147375,147455,some +//.
24fc,PAR,147455,147655,I will go .
24fc,PAR,147655,151119,then I will just stop .
24fc,PAR,151119,154104,because it wasn't helping me really much .
24fc,PAR,154104,154304,&-um I am a fast talker .
24fc,PAR,154304,162288,so people will always to have me go like slow down .
24fc,PAR,162288,162488,and I would hate that .
24fc,PAR,162488,165743,I cannot slow down .
24fc,PAR,165743,167789,<I> [//] I'm not able to .
24fc,PAR,167789,171913,so I would just hate to like talk really slow .
24fc,PAR,171913,176422,and trying to put that in my real life afterward .
24fc,PAR,176422,176622,and it would just feel weird .
24fc,PAR,176622,181901,&-um so I did therapy .
24fc,PAR,181901,187336,I did not appreciate it really much .
24fc,PAR,187336,197042,what has helped me is to meet other people who stutter .
24fc,PAR,197042,197242,&-uh to talk with them .
24fc,PAR,197242,202844,see how they live with it .
24fc,PAR,202844,203044,and <that> [//] that's what helped me the most .
24fc,PAR,203044,203244,to gain my confidence .
24fc,PAR,203244,210892,like confidence back .
24fc,PAR,223418,232115,I would say would just be that if two people can understand  each_other .
24fc,PAR,232115,232315,that is the main point .
24fc,PAR,232315,232395,for me .
24fc,PAR,232395,239590,to have like a good conversation .
24fc,PAR,239590,239790,&-um also it would just +//.
24fc,PAR,239790,250600,I [/] I don't think that the fluency like has like a role to play  in that .
24fc,PAR,250600,250800,it [/] it would help of course .
24fc,PAR,250800,263556,it's easier <for the> [/] for the people to like understand us .
24fc,PAR,263556,266357,<if we> [/] if we don't block .
24fc,PAR,266357,272227,but I think that &-uh <if the> [//] if I can say what I hafta say .
24fc,PAR,272227,272427,and that I [/] I don't like switch word .
24fc,PAR,272427,281614,or stop [/] stop before I finish what I wanna say .
24fc,PAR,281614,286384,that is a good conversation .
24fc,PAR,286384,286464,I did .
24fc,PAR,286464,286664,I did think &-uh if my job <would be> [/] would be like the same  job .
24fc,PAR,286664,286864,if it would like xxx my choice .
24fc,PAR,286864,287064,I love what I do .
24fc,PAR,287064,287264,but maybe that I would have chosen like something else .
24fc,PAR,287264,287464,that I might hafta talk more .
24fc,PAR,287464,316647,or might hafta interact with people more .
24fc,PAR,316647,316847,I do hafta interact with like people at my job .
24fc,PAR,316847,322551,but I don't interact with like other people .
24fc,PAR,322551,322751,it's just like my team .
24fc,PAR,322751,322951,my like teammate .
24fc,PAR,322951,325875,the coworkers .
24fc,PAR,325875,329883,but I don't hafta like call someone .
24fc,PAR,329883,336991,or like so maybe <I would have got> [//] I would have &-um gotten  another kind of job .
24fc,PAR,336991,337191,but I think I would be pretty much the same .
24fc,PAR,337191,344677,<I might have> [//] I might would have &-um talk more .
24fc,PAR,344677,347247,like when I'm like in group .
24fc,PAR,347247,347447,I think it's my cellphone .
24fc,PAR,347447,347527,buzzing .
24fc,PAR,347527,347727,&-um so I think I would talk maybe more .
24fc,PAR,347727,355250,<when I'm> [/] when I'm in group .
24fc,PAR,355250,361703,I find it &-uh difficult to &-um like take my place .
24fc,PAR,361703,361903,when people talk .
24fc,PAR,361903,364671,and they're talking pretty fast sometimes .
24fc,PAR,364671,364871,and it's just hard to just like say stop .
24fc,PAR,364871,370588,<I want> [/] I wanna like say something .
24fc,PAR,370588,370668,about .
24fc,PAR,370668,370868,and I know that I'm gonna block .
24fc,PAR,370868,371068,and that it's gonna be long .
24fc,PAR,371068,379109,and so I think it would maybe xxx .
24fc,PAR,379109,382679,but my friends are pretty <good> [//] cool with that .
24fc,PAR,382679,382879,so they let me talk to .
24fc,PAR,382879,382884,so .
24fc,PAR,382884,383084,&=laughs .
24fc,PAR,388616,394903,&-uh I am doing a master in biology .
24fc,PAR,394903,395103,so of course I looked it up .
24fc,PAR,395103,401284,&-uh so I know it's like gene .
24fc,PAR,401284,401484,like &-uh involved in that .
24fc,PAR,401484,401684,it's like eighty percent like genetic .
24fc,PAR,401684,408509,twenty percent environmental .
24fc,PAR,408509,408709,&-uh I look it up for which gene .
24fc,PAR,408709,408789,and why .
24fc,PAR,408789,416896,how [/] how does that work ?
24fc,PAR,416896,417096,&-uh I know that we do not all of them yet .
24fc,PAR,416896,425182,and they all work in the same pathways .
24fc,PAR,417096,417296,we have a really few of them .
24fc,PAR,425182,431986,so I can't wait to see like really what causes that .
24fc,PAR,431986,432066,yeah .
24fc,PAR,432066,432266,&-uh I would say +//.
24fc,PAR,432266,432466,I think that the most important thing .
24fc,PAR,448861,465719,is that the people who stutter &-um like [/] like the kind of  therapy that they are getting .
24fc,PAR,465719,465919,so maybe like ask them .
24fc,PAR,465919,466119,like more often .
24fc,PAR,466119,471339,if [/] if [/] if this is what they want .
24fc,PAR,471339,471539,to like [/] like try .
24fc,PAR,471539,475925,or like practice .
24fc,PAR,475925,476125,or things like that .
24fc,PAR,476125,476325,&-um maybe to ask them &-uh if like +//.
24fc,PAR,476325,476525,more about like maybe like school .
24fc,PAR,476525,490047,like if everything is like good at school .
24fc,PAR,490047,493549,what [/] what [/] what would help them .
24fc,PAR,493549,494982,what would not help them .
24fc,PAR,494982,495182,so I think that +//.
24fc,PAR,495182,495262,yeah .
24fc,PAR,495262,498083,pretty much it .
507,INV,0,5797,yeah okay &-um please talk about the impact of stuttering on your  daily life .
507,INV,5797,12755,you can talk about your interactions with family and friends school  and or work and your participation in community activities .
507,INV,115435,115840,B;FG;1
507,INV,287923,292823,&-um and participation in community activities .
507,INV,299200,300104,yeah .
507,INV,479583,485084,yeah okay &-um what do you think causes stuttering ?
507,INV,530081,537648,&-um if you have received treatment for your stuttering tell me  about your therapy experiences and the outcomes of these therapies .
507,INV,576911,586043,&-uh please describe what successful communication means to you can  you give an example of a positive communicative experience ?
507,INV,592763,598000,if you didn't stutter what might be different in your life ?
507,INV,670371,678970,and this is the last question what else would you want to say to  students or the general public to help them learn about stuttering  to help them learn about stuttering or ways to support people who  stutter ?
507,INV,678970,679170,yeah perfect so that's it for the questions thank you so much .
507,PAR,12755,22392,yeah &-um as far as my daily life goes &-uh it's pretty much  affected every part of it .
507,PAR,22392,32276,because I &-uh when I was eighteen I was I attempted to join the  national guard .
507,PAR,32276,45392,and &-uh I the recruiter after going to &-uh take the test &-uh he  walked up to me and he said &-uh &-uh you scored so high on the  ASVAP you can have any job you want .
507,PAR,45392,51091,but you can't join because you stutter the doctor will no waiver  stutter on your form .
507,PAR,51091,71628,and so &-uh right there &-uh right after high school my &-uh an  immediate &-uh &-uh an immediate job discrimination right out_of the  gates .
507,PAR,71628,82083,so &-uh so my daily life was immediately altered from that day in  two thousand four .
507,PAR,82083,99331,so I probably wouldn't have the daily life I have now if it wasn't  for my speech so &-uh &-um I now work but &-uh I now work for the  department of children and family services .
507,PAR,99331,103496,I do background checks for daycare centers agencies and  institutions .
507,PAR,103496,114550,&-uh &-um I with my job it's I'm in front of a computer all day .
507,PAR,114550,121578,and I don't hafta talk to anybody unless I have a question about  an application or a procedure going forward .
507,PAR,121578,135133,&-uh I mainly use FBI and Illinois state police databases to  research including child abuse .
507,PAR,135133,145567,&-um hold on a second &-uh &-um &-uh and child abuse and neglect  tracking systems .
507,PAR,145567,153544,so it's I learned about the job and I discovered there wasn't much  speech involved .
507,PAR,153544,173384,so I transferred from the department of human services which I was  in direct care of &-um of clients who were NGRI in USC which is not  guilty by reason of insanity and not fit to stand trial .
507,PAR,173384,180983,&-uh these were adults &-um in a twenty four seven care facility .
507,PAR,180983,194100,and &-uh and I think having a speech impediment &-uh it helped me  empathize with &-uh the clientele that we were assisting with .
507,PAR,194100,212202,&-uh there were a few who had similar speech impediments &-uh some  just connected with me because I was maybe thought as other as he  was .
507,PAR,212202,222484,&-um &-uh and then COVID hit and I started to work the positive  Covid units on top of NGR .
507,PAR,222484,228434,NGRI and USC and it just became too much so I transferred to the  department of children and family services .
507,PAR,228434,245687,and &-uh so I have a much more limited speaking role because it's  in more computer work all day and &-uh so it's a very low stress  concerning speech .
507,PAR,245687,258415,as far as &-uh friends and family &-uh I surround myself with &-uh  friends who &-uh who aren't worried about my speech &-uh .
507,PAR,258415,260300,they accept me for who I am .
507,PAR,260300,269535,&-uh family &-uh &-um I have not seen much of them lately .
507,PAR,269535,277487,&-uh partly due to Covid and moving to Chicago three hundred miles  away from home .
507,PAR,277487,284553,I have not been back home in four years so &-uh I haven't really  seen them much &-uh .
507,PAR,284553,287923,&-uh so work family friends what was the other ?
507,PAR,292823,299200,oh yeah and &-um and how speech has effected community activities .
507,PAR,300104,321886,&-um &-uh yeah if hobbies are a part of community activities &-uh  &-um from eighteen to thirty two I was competing in Amuteur  automobile racing .
507,PAR,321886,325737,at the &-um with the sports car club of America SCCA .
507,PAR,325737,336971,&-uh &-um my in my late twenties I became full time reginal  champion of auto cross and Renocross in my region .
507,PAR,336971,342520,and then in two thousand sixteen I placed fifth at the national  Renocross championship .
507,PAR,342520,348217,&-uh &-um I think forty eight out_of fifty states were represented  .
507,PAR,348217,358689,so &-uh and it's having a speech impediment in that hobby &-um was  a bit of a challenge .
507,PAR,358689,378367,because the [/] the type of people who compete in that &-uh tend to  be &-um well clear &-um caucasian male very daunting personalities .
507,PAR,378367,393656,&-uh and it's just &-uh the type of personalities I would not  voluntarily be around .
507,PAR,393656,397174,&-um a_lot_of high egos .
507,PAR,397174,405808,&-uh so to start off and to learn how to race was a bit of a  challenge .
507,PAR,405808,415185,it took me extra time a few more years than it should have because  &-uh there were barriers and hurdles .
507,PAR,415185,427570,&-uh to finally become an accepted &-uh member of the local chapter  of the SCCA .
507,PAR,427570,435274,&-uh eventually I gotta know the in and out_of the sport .
507,PAR,435274,445990,and fellow competitors and learn from their abilities and &-uh then  &-uh went to racing schools and that's where I got good finally .
507,PAR,445990,457058,&-uh yeah so it's having a speech impediment just adds hurdles but  you can do pretty much what you want to do .
507,PAR,457058,465675,&-uh at the NSA conference last week there were guys in the  military who stuttered .
507,PAR,465675,471275,they said that I probably just had a bad doctor that I the doctor  was probably just having a bad day that day .
507,PAR,471275,479583,and just didn't want to I don't know or maybe he was just a jerk so  yeah so &-um yeah .
507,PAR,485084,490188,&-uh I assume it's genetic .
507,PAR,490188,501759,&-uh it's probably a physiological &-uh thing both mind and body .
507,PAR,501759,519046,&-uh I've heard some &-uh maybe your transmitters from your brain  aren't sending the right messages to your muscles .
507,PAR,519046,530081,&-uh it's genetics &-uh I don't know I don't think a_lot_of people  know so .
507,PAR,537648,543677,&-uh through ninth grade I went to speech therapy .
507,PAR,543677,550011,&-uh I was taken out_of class read sentences &-uh .
507,PAR,550011,554494,I was told to slow down &-uh now .
507,PAR,554494,563992,that was she had a good heart &-uh the speech therapist &-uh I what  I got out_of it was a person to talk to .
507,PAR,563992,576911,&-uh as far as the speech therapy &-uh I don't think it was  productive in it made it better it was productive in that I had an  adult to talk to .
507,PAR,586043,592763,&-uh &-um positive no .
507,PAR,598000,603458,&-uh my occupation for sure &-uh for sure .
507,PAR,603458,616414,&-uh the equal opportunity had upward mobility .
507,PAR,616414,629228,&-um I imagine I would it's altered everything so .
507,PAR,629228,641029,&-uh whether its good or bad I am thankful now I look back and I  wasn't able to get into the military because that was the height of  the Iraq war .
507,PAR,641029,645278,I may have been killed in Iraq if I got in .
507,PAR,645278,649729,so maybe this is &-uh a positive thing I didn't get in .
507,PAR,649729,655209,&-uh so that's it a very loaded question &-uh yeah .
507,PAR,655209,670371,&-um yeah it's I'm I had a hard I'm doing a lot better with it now  and so yeah .
507,PAR,678970,683837,&-uh yeah just take time listen &-um .
507,PAR,683837,700571,make eye contact and &-uh it's I &-um you may feel a sense of  discomfort to listen but &-uh you can get over it .
507,PAR,700571,707409,yeah it's easier for it's not on me to speak better it's on you to  listen better .
507,PAR,707409,713389,&-uh and treat everyone with dignity and respect and yeah .
507,PAR,713389,717104,sure !
28m,PAR,21041,29721,I mean I feel that it's pretty prominent in any relationship you  have whether its simply you know .
28m,PAR,29721,32306,you're a waiter at a restaurant up to a family member .
28m,PAR,32306,41767,communication is the most important part of that and a breakdown of  that for me at least in my experience affects the quality of the  relationship .
28m,PAR,41767,44967,so &-um you know &-um .
28m,PAR,44967,59892,I don't know like I work and the job I have doesn't require much  speaking and I think its tough for me to convince a prospective  employer that I can do a job that involves speaking on the phone and  meeting with clients and that's the way I like to challenge myself .
28m,PAR,59892,73045,&-um and I think its hard to maybe prove my competence at work when  I have a difficult time speaking or expressing myself &-um and when  I was in school .
28m,PAR,73045,74673,&-um it was .
28m,PAR,74673,90724,you know especially in classes where there was a_lot_of focus on  discussion or participating and that was very stressful and that was  hard for me to &-um fully &-uh participate to the extent that I  wanted to .
28m,PAR,90724,95075,&-um and &-uh .
28m,PAR,95075,99382,but you know I mean I guess I try to think of the positives too and  &-uh .
28m,PAR,99382,101706,you know I think &-uh .
28m,PAR,101706,107710,you really realize that you don't take speech for granted so you  know you realize the value of being able to express yourself .
28m,PAR,107710,117512,and you can &-um &-uh and I think you can try to say things that  have more meaning instead of just rambling .
28m,PAR,123241,130358,well we know its I mean it varies for person to person I mean but I  think its for most cases neurological .
28m,PAR,130358,150578,&-um I actually participated in an e@l [/] e@l g@l study recently  where they were trying to identify what part in the brain stuttering  occurs and differences in the brains from people who stutter from  those who don't and for some people its more motor and for some  people its more sensory and I guess the idea of this is that they  could target speech .
28m,PAR,150578,156452,therapy you know based on the root causality from ones particular  case .
28m,PAR,156452,163779,&-um and then you know well I just learned in this conference its  up to as many as twenty percent .
28m,PAR,163779,168202,cases can be genetic but in my case it doesn't run in the family  and I am the only one .
28m,PAR,168202,179393,&-um and then two of those can be psychological I mean I have heard  stories of people coming back from a war and having p@l t@l s@l d@l  and stuttering as two of the symptoms .
28m,PAR,179393,189520,the I mean I think those &-um you know people might stutter in the  same way but its interesting to see how there is a whole spectrum of  causes .
28m,PAR,203519,211185,&-um I have been to so well first of all I didn't start stuttering  at all until I was eighteen .
28m,PAR,211185,219830,its been &-uh I think it made my experience and relationship to  stuttering a bit different than a_lot_of people I've met here .
28m,PAR,219830,226199,&-um so I first got therapy when I was nineteen so it was the  summer after my freshman year of college and .
28m,PAR,226199,238608,&-um it was just a standard you know weekly sessions and at that  point I was so new to the whole thing and I've never seen a speech  therapist before .
28m,PAR,238608,248486,so I didn't know what to expect and she wasn't a bad therapist but  I don't think I was fully knew what I was getting myself into or  knew how to get the most out_of it .
28m,PAR,248486,266936,and then I did on two more occasions I worked one on one with a  therapist and I never I don't know I never really found that to be  successful and especially the second two people I worked with I  didn't have a good report with &-um and then I have done two  intensive programs as well .
28m,PAR,266936,270495,did one at Bowling Green in Ohio .
28m,PAR,270495,290266,&-uh done by Rodney Gobble who I was really impressed with and the  focus was definitely on stuttering modification and that is when I  was first introduced to the idea of acceptance and desensitizing and  things like voluntary stuttering so_that was an interesting  experience and .
28m,PAR,290266,293458,that was the first time I had a chance to meet other people who  stutter .
28m,PAR,293458,303533,and then on the other end of the spectrum I did Hollins a couple of  years later which is very much the fluency shape idea and &-uh that  was a positive experience too .
